CXSMILES,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro)
O=C(CC1=CN=CC2=CC=CC=C12)N(CCC(F)(F)F)CC1=CC=CC=C1,5.02,4.78
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C=CC1=CC=CS1 |&1:17|,,4.88
C#CC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,4.99,5.33
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCO2)CC1,,4.57
O=C1C(C2=CC(Cl)=CC=C2)=CN=C(S)N1C1=CN=CC2=CC=CC=C12,5.04,6.86
"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1F |&1:1,19|",5.34,5.51
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=CC=C1 |&1:12|,5.65,7.01
O=C(NCC1=CC=CC=C1N1C=CC=N1)C1=CN=CC2=CC=CC=C12,4.29,
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)[C@H](C2=CC=CC=C2)C1 |&1:15,17|",4.05,4.76
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NOC=C2C1,4.5,5.49
O=C1N[C@H](CC2=CC=CC=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,4.87,4.5
"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@@H]1CCC2 |o1:14,18|",4.61,4.95
CC1=CC=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8|,4.09,4.43
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@H]2C1 |&1:15,&2:22|",4.53,5.87
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CS2)C1 |&1:16|,4.3,4.29
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C12CC(C1)N(CC1COC1)C2,4.17,5.4
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H](OC2=CC=C(F)C=C2)C1 |a:16|,,4.46
CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,5.44,6.53
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC(C(F)F)=NO2)C1 |&1:16|,,4.62
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Br)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,6.35,7.62
O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CC=C1 |&1:18|,4.63,4.94
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=C(F)C=C1F |&1:17|,4.23,4.65
CC1=CC=C(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:6|,3.7,4.55
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCCC[C@H]21 |&1:16,21|",3.96,4.5
CC[C@H](C)OC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |&1:2|,,4.33
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C21,4.74,4.68
O=C1C[C@H](CC2=CC=CC=C2Cl)CN1C1=CN=CC2=CC=CC=C12 |&1:3|,4.32,5.14
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CC=N1 |&1:17|,4.03,4.11
COC1=CC=CC(CNC(=O)CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC=CC=C3C2=O)=C1,5.87,6.31
NC(=O)CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,4.74,5.48
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |&1:16|,,5.07
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCO2)CC1 |&1:17|,,4.43
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]1C1=CC=CC=C1 |&1:19|,5.11,4.55
"C[C@H]1CCOC[C@@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |&1:1,6|",4.25,
C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CCC12COC2 |&1:1|,4.29,4.03
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,4.3,5.39
O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1CCC1 |&1:18|,3.97,4.61
CN1CCC[C@]12CCCN(C(=O)CC1=CN=CC3=CC=CC=C13)C2 |&1:5|,6.69,
"CCO[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)C1 |&1:3,&2:5,&3:21|",,4.57
O=C(CC1=C(F)C(F)=CC=C1F)NC1=CN=CC2=CC=CC=C12,1,4.51
O=C1N[C@]2(C[C@@H](C3=CC=C(Cl)C=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,5.11,7.04
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |&1:16|,,5.26
C[C@]1(C2=CC=CN=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,4.26,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(OC2CCC2)CC1,,4.3
COC1=CC=CC=C1CNC(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1 |&1:22|,5.79,6.96
O=C(C1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=C1,4.27,
C=CC(=O)NC1=CC=CC(N(CC2=CC(Cl)=CC=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,5.05,4.79
O=C(NCCC1=CNC2=CC(F)=CC=C12)C1=CN=CC2=CC=CC=C12,4.05,
O=C1N[C@]2(CCOC3=CC=C(CO)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,4.52,4.87
O=C([C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCSCC1 |&1:2|,4.35,
CN1C=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:5|,4.26,
CC1(F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,5.4,5.31
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=CNC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,4.59,4.05
CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,5.4,6.44
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=NC=N2)C1 |&1:16|,4.27,
"CO[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|",4.23,4.22
N#CC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,5.79,5.37
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(F)CC1,5.18,5.17
"C[C@H]1C[C@H]2C[C@@H]1CN2C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,3,5|",4.78,4.98
CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:3|,4.42,6.23
C[C@H](C(=O)N1CCC2=C(C=CS2)C1)C1=CN=CC2=CC=CC=C12 |&1:1|,4.27,4.09
"CC(C)CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:24,30|",6,7.26
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|,4.25,7.91
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C(=O)NC)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,4.45,4.2
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=NC=CO2)CC1,4.3,4.11
"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2(F)COC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",5.63,6.89
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |o1:17|,4.09,5.61
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)[C@H]1CCCC12CCC2 |&1:21|,4.72,4.95
CNC(=O)[C@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,5.11,6.69
C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCCCC1 |&1:6|,4.25,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCCCC1 |&1:17|,5.29,5.05
"C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1 |o1:1,20|",3.96,4.12
"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1N1C=CN=C1 |&1:1,&2:19|",4.32,
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](O)C2CC1C2 |&1:15|,4.31,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC=C2F)C1 |&1:16|,4.07,4.84
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1 |o1:21|,4.68,5.32
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C=CC=C2C1,4.67,4.51
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCCC2)C1,4,4.98
CC1=CC=C(F)C(CN(C)C(=O)CC2=CN=CC3=CC=CC=C23)=C1F,4.73,4.24
O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC=C1F |&1:15|,4.21,
CC1=CC([C@H]2CCCN2C(=O)C2=CN=CC3=CC=CC=C23)=CC=N1 |&1:4|,4.16,
CNC(=O)C[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:5|,4.9,
COC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,,4.59
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC(F)=C2OC2=CC=CC=C21,4.61,5.26
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC2=CC=CC=C2S1 |&1:17|,5.08,4.56
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCOCC1 |&1:6|,5.59,5.25
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CO)C2=CC(Cl)=CC=C2C1=O |o1:7,o2:22|",5.36,6.47
CCC1=NOC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:6|,,4.25
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)C1 |&1:17|,4.05,5.17
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C2OCCOC2=C1,6.6,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=NC2=CC=CC=C2S1 |&1:18|,4.04,4.01
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@@H]1C2 |a:16,18|",4.48,4.39
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCCC[C@H]2CC1 |&1:16,&2:21|",4.75,5.88
"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:8,10|",6.22,5.87
O=C1N(C2=CN=CC3=CC=CC=C23)CCC[C@]12CCOC1=CC=C(Cl)C=C12 |o1:16|,4.28,
CN1C(=O)C2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |&1:11|,3.43,4.73
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]1C2 |&1:16,&2:19|",4.81,4.67
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCCO2)CC1,,5.24
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=N1 |&1:17|,4.29,
"O=C1C[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]2N1 |&1:3,21|",,4.03
"O=C(COS(=O)(=O)N1CCOCC1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:25,31|",4.67,6.62
CC1(C)CCN(S(C)(=O)=O)C[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |o1:11|,4.22,4.47
O=C(CC1=CN=CC2=CC=CC=C12)NCC1=CC=CC(Cl)=C1,4.08,5.25
COC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,5.72,5.37
COC1=CC=C2C=NC=C(CC(=O)N(CC3=CC=CC(Cl)=C3)C3=CC=C(N(C)C)C=N3)C2=C1,5.69,6.69
C=CC(=O)N1C[C@H](C(N)=O)CC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21 |&1:6|,6.05,6.66
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CS1)C1=CC=CC=C1,5.26,5
O=C(CC1=CC(F)=CN=C1)NC1=CN=CC2=CC=CC=C12,4.18,5.33
CN(C(=O)C1=CC=CN=C1)[C@H]1C2=CC=CC=C2C[C@H]1O,5.23,
"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C(F)(F)F)C1 |&1:1,18|",5.18,5.43
O=C(N[C@H]1C2=CC=CC=C2C[C@H]1O)C1=CN=CC2=CC=CC=C12,3.76,
CN1C=C([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=N1 |&1:4|,4.24,
"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",5.64,5.89
CCN1CC2(C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C(=O)N2C,4.54,
CN1C[C@H](CC2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)CC1=O |&1:3|,4,4.49
O=C(NCC1=CC=CC=C1N1C=CN=C1)C1=CN=CC2=CC=CC=C12,4.24,
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C(F)C=C1)CC1CC1,4.65,4.99
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,7.25,8.68
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(F)=CC=C2C1=O |a:7,22|",5.27,6.73
COC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1OC |&1:20|,5.72,6.94
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]2C1 |&1:16,20|",5.35,5.67
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2CCCC2)C1 |&1:17|,9,
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]2C1 |&1:16,19|",5.22,4.99
C[C@H](C1=CC=CC=C1)N(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,5.2,5.15
C=C(CN(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1,4.84,4.46
"CC(C)NS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:23,29|",4.52,
CCC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,5.69,5.89
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C[C@@H]1[C@@H]1C[C@H]21 |&1:15,17,18,20|",4.06,4.44
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=CC=CC=C2C2=CC=CC=C21,3.97,
CC1=CC=C(CCNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:20|,5.8,7.12
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](CC2CCCCC2)C1 |&1:21|,5.53,4.77
CC1=CC(C)=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:7|,9,
C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,5.21,6.48
CCCCNC(=O)C1=CN=C([C@H](NC(=O)CCl)C2=CC=CC(Cl)=C2)S1 |&1:11|,4.32,5.25
CNC(=O)C1=CC(Br)=CC([N+](=O)[O-])=C1N[C@@H]1CCCC[C@@H]1NC(=O)C1=CN=CC2=CC=CC=C12,6.2,8.22
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=C1,4.39,
CC1=CSC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1 |&1:5|,4.97,4.32
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(NC2=CC=CC3=NC=CC=C23)CC1,,4.07
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C[C@H]2CCCO2)C1 |&1:16,&2:18|",4.25,
C=C(CN(C(=O)C1CCOC2=C1C=C(Cl)C=C2)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=CC=C1,4.88,6.45
CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,4.28,
CC(=O)C1=CC=CC(CN2CCN(C(=O)COS(=O)(=O)N3CCOCC3)C[C@H]2CC(C)C)=C1 |&1:27|,4.45,6.13
O=C(NCC(=O)N1CCCC1)C1=CN=CC2=CC=CC=C12,5.13,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=CN=C2)C1 |&1:16|,4.25,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=CC=N2)C1 |&1:16|,4.3,
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](CF)C2(CCCC2)C1 |&1:15|,4.39,5.43
O=C(NCC1=NC=CN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12,4.17,
COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C)C(=O)C1=CC=C(Cl)C=C12,3.8,5.48
"C[C@H](CO)C[C@H]1CN(C(=O)CO)CCN1CC1=CC=CC(Cl)=C1 |&1:1,&2:5|",8.62,
CC(C)CCN(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,5.24,5.13
CC1=CSC(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:6|,,4.17
CC1=CC=C2NC=C(CCNC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C2=C1 |&1:23|,5.64,7.12
"CO[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:2,5|",3.95,4.43
CN[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:7|,5.42,6.79
CC(=O)N[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:4|,4.24,
CC1=CC=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1Cl,4.38,
CN(C)C1=NOC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1 |&1:7|,4.51,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CC=NC=C2)C1,9,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2CC2)CC1,4.01,5.56
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC=CC=N2)CC1,4.22,
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CO)=CC=C2C1=O |o1:3|,4.23,
N#CC[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|,4.3,4.34
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |o1:16|,4.85,5.03
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(N2C=CC=N2)C=C1 |&1:6|,4.41,5.93
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCCCC1 |&1:17|,4.05,5.01
"COC[C@H]1CC[C@@H](C2=CC=C(F)C=C2)N1C(=O)CC1=CN=CC2=CC=CC=C12 |a:3,6|",,5.01
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O |&1:6|,4.68,4.88
CNC(=O)C1(N2C[C@@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|,9,4.4
"C[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1 |o1:1,4|",4.34,4.21
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)CC2(CCC2)C1,,4.22
"CS(=O)(=O)C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)CC1=CN=CC2=CC=CC=C12 |a:5,7,11|",,4.22
CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(F)=C(F)C(F)=C1 |&1:2|,4.53,6.11
C[C@]1(C2=CC=CC=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,,4.57
"C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)CC1=O |&1:1,&2:17|",,4.14
"N#CN1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:14,&2:20|",8.56,
"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CO1 |a:9,32|",7.12,8.18
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)CC1 |&1:17|,4.07,5.48
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(CC1=CC=CC=C1)[C@H]1CCS(=O)(=O)C1,9,
C=CC(=O)N1CCCC2=C1C=CC=C2N(C(=O)CC1=CN=CC2=CC=CC=C12)C1(C2=CC=CC(Cl)=C2)COC1,5.01,4.99
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCCO2)CC1 |&1:17|,,4.52
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(C(F)F)C=C2)C1 |&1:16|,4.33,4.18
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CC2(F)F,,5.2
"C[C@H](F)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",,4.07
CC1=NC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=CS1 |&1:4|,4.1,4.67
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NOC=C2)C1 |&1:17|,,4.47
